AR,Level,time,TOTUSJH,TOTPOT,TOTUSJZ,ABSNJZH,SAVNCPP,USFLUX,AREA_ACR,MEANPOT,R_VALUE,SHRGT45
11087,C,2.01007E+11,1546.07117,1.88E+23,3.52E+13,199.093048,1.23E+13,2.32E+22,1040.245,3571.15796,4.03935528,15.1304483
11087,C,2.01007E+11,1576.17102,1.85E+23,3.54E+13,202.30481,1.19E+13,2.30E+22,1042.34155,3606.92065,4.03303814,14.8209391
11087,C,2.01007E+11,1541.61536,1.84E+23,3.46E+13,207.779266,1.25E+13,2.24E+22,1061.448,3704.31665,3.91799998,15.0413141
11087,C,2.01007E+11,1513.67334,1.78E+23,3.35E+13,211.844406,1.21E+13,2.18E+22,1063.97314,3764.69434,4.05046463,14.913166
11087,C,2.01007E+11,1500.87524,1.78E+23,3.28E+13,228.475067,1.35E+13,2.15E+22,1060.85229,3809.68823,4.10335732,15.1875734
11087,C,2.01007E+11,1480.17725,1.78E+23,3.24E+13,235.043976,1.44E+13,2.14E+22,1064.76965,3850.90063,4.03394938,15.1073771
11087,C,2.01007E+11,1501.50378,1.79E+23,3.32E+13,247.396851,1.39E+13,2.14E+22,1075.84863,3816.46729,4.04361153,15.3600407
11087,C,2.01007E+11,1542.46704,1.80E+23,3.47E+13,254.645081,1.47E+13,2.19E+22,1073.12415,3692.48462,3.98690176,15.0239859
11087,C,2.01007E+11,1552.68152,1.80E+23,3.58E+13,236.836288,1.33E+13,2.21E+22,1074.22485,3598.5166,4.0300107,15.600935
11087,C,2.01007E+11,1501.28198,1.80E+23,3.41E+13,239.312622,1.4E+13,2.19E+22,1077.66785,3620.01953,3.97589898,15.4407825
11087,C,2.01007E+11,1478.74414,1.80E+23,3.36E+13,235.621918,1.32E+13,2.18E+22,1099.69495,3637.8772,4.0243144,15.4172478
11087,C,2.01007E+11,1429.79956,1.77E+23,3.22E+13,234.759003,1.26E+13,2.14E+22,1092.60168,3666.64062,4.03594208,15.7013445
11087,C,2.01007E+11,1392.48413,1.71E+23,3.1E+13,231.750336,1.43E+13,2.08E+22,1099.74646,3686.00098,4.03189135,15.5926113
11087,C,2.01007E+11,1392.4939,1.68E+23,3.02E+13,214.02803,1.1E+13,2.03E+22,1098.80981,3763.43848,3.97072482,15.9645166
11087,C,2.01007E+11,1370.72473,1.66E+23,2.95E+13,240.949234,1.38E+13,1.96E+22,1096.32532,3932.81201,3.99925017,16.0478325
11087,C,2.01007E+11,1395.95776,1.66E+23,2.92E+13,233.900604,1.31E+13,1.92E+22,1103.87769,4107.36035,3.9225018,16.755764
11087,C,2.01007E+11,1386.40784,1.65E+23,2.88E+13,237.444153,1.44E+13,1.88E+22,1090.75012,4229.84912,4.09090996,16.7023849
11087,C,2.01007E+11,1442.87244,1.65E+23,3.01E+13,259.76532,1.5E+13,1.90E+22,1095.29187,4157.89258,3.84087539,17.130064
11087,C,2.01007E+11,1499.20178,1.69E+23,3.2E+13,247.806534,1.46E+13,1.99E+22,1094.97522,3976.72583,3.87693787,16.6073437
11087,C,2.01007E+11,1530.62756,1.75E+23,3.41E+13,257.186066,1.34E+13,2.09E+22,1099.78589,3765.47583,3.78563595,16.8831177
11087,C,2.01007E+11,1516.95923,1.76E+23,3.44E+13,244.915024,1.49E+13,2.14E+22,1101.651,3580.62817,3.93398976,17.1122856
11087,C,2.01007E+11,1471.13171,1.74E+23,3.36E+13,249.423538,1.57E+13,2.12E+22,1115.96851,3549.22607,3.79692817,17.6748714
11087,C,2.01007E+11,1427.96204,1.70E+23,3.22E+13,246.674606,1.6E+13,2.09E+22,1112.27893,3551.12817,3.93291783,17.0624676
11087,C,2.01007E+11,1398.64722,1.66E+23,3.14E+13,218.814011,1.44E+13,2.06E+22,1117.34326,3544.18286,3.56399727,17.3665905
11087,C,2.01007E+11,1373.83752,1.66E+23,3.08E+13,227.679977,1.43E+13,2.04E+22,1113.45923,3562.71167,3.46602106,17.1958885
11087,C,2.01007E+11,1357.45825,1.64E+23,3.02E+13,233.643768,1.43E+13,2.02E+22,1123.39917,3563.24219,3.29522109,17.2059765
11087,C,2.01007E+11,1388.49841,1.66E+23,3.13E+13,241.038696,1.5E+13,2.02E+22,1137.47888,3591.66772,3.61691928,17.11973
11087,C,2.01007E+11,1399.51904,1.69E+23,3.18E+13,232.51683,1.41E+13,2.03E+22,1143.67224,3621.60083,3.70260167,17.392664
11087,C,2.01007E+11,1420.73291,1.67E+23,3.24E+13,232.486557,1.39E+13,2.01E+22,1143.93469,3573.04443,3.72838426,18.1222401
11087,C,2.01007E+11,1431.77283,1.66E+23,3.29E+13,227.731995,1.43E+13,2.00E+22,1141.03882,3577.33154,3.33557081,17.9473972
11087,C,2.01007E+11,1442.34387,1.64E+23,3.3E+13,209.953293,1.21E+13,1.96E+22,1140.67078,3651.39551,3.54703355,17.8998241
11087,C,2.01007E+11,1415.76562,1.57E+23,3.16E+13,191.086182,9.02E+12,1.85E+22,1145.67651,3807.80151,3.2352531,18.21632
11087,C,2.01007E+11,1335.14575,1.50E+23,2.89E+13,209.674194,1.09E+13,1.73E+22,1146.70215,4054.51074,3.5105207,17.3178539
